#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (phi)
57,263.0,0.8920,24.92,0.46
58,275.4,0.8920,24.91,0.45
59,288.4,0.8920,24.92,0.41
60,302.0,0.8920,24.92,0.36
61,316.2,0.8920,24.92,0.35
62,331.1,0.8920,24.91,0.29
63,346.7,0.8920,24.92,0.33
64,363.1,0.8920,24.92,0.29
65,380.2,0.8920,24.92,0.23
66,398.1,0.8920,24.92,0.25
67,416.9,0.8920,24.92,0.23
68,436.5,0.8920,24.92,0.18
69,457.1,0.8920,24.93,0.22
70,478.6,0.8920,24.92,0.17
71,501.2,0.8920,24.93,0.15
72,524.8,0.8920,24.93,0.12
73,549.5,0.8920,24.93,0.11
74,575.4,0.8920,24.92,0.05
75,602.6,0.8920,24.92,0.06
76,631.0,0.8920,24.92,0.05
77,660.7,0.8920,24.92,0.01
78,691.8,0.8920,24.91,0.00
79,724.4,0.8920,24.92,0.00
80,758.6,0.8920,24.92,-0.06
81,794.3,0.8920,24.92,-0.06
82,831.8,0.8920,24.92,-0.06
83,871.0,0.8920,24.92,-0.05
84,912.0,0.8920,24.92,-0.11
85,955.0,0.8920,24.92,-0.12
86,1000.0,0.8920,24.92,-0.11
87,1047.1,0.8920,24.92,-0.11
88,1096.5,0.8920,24.92,-0.16
89,1148.2,0.8920,24.92,-0.18
90,1202.3,0.8920,24.91,-0.18
91,1258.9,0.8920,24.91,-0.23
92,1318.3,0.8920,24.91,-0.23
93,1380.4,0.8920,24.92,-0.22
94,1445.4,0.8920,24.91,-0.29
95,1513.6,0.8920,24.91,-0.29
96,1584.9,0.8920,24.91,-0.29
97,1659.6,0.8920,24.91,-0.35
98,1737.8,0.8920,24.91,-0.38
99,1819.7,0.8920,24.91,-0.34
100,1905.5,0.8920,24.91,-0.46
101,1995.3,0.8920,24.92,-0.45
102,2089.3,0.8920,24.92,-0.46
103,2187.8,0.8920,24.91,-0.52
104,2290.9,0.8920,24.91,-0.52
105,2398.8,0.8920,24.91,-0.52
106,2511.9,0.8920,24.91,-0.57
107,2630.3,0.8920,24.92,-0.57
108,2754.2,0.8920,24.91,-0.63
109,2884.0,0.8920,24.90,-0.64
110,3020.0,0.8920,24.92,-0.68
111,3162.3,0.8920,24.91,-0.75
112,3311.3,0.8920,24.91,-0.80
113,3467.4,0.8920,24.92,-0.86
114,3630.8,0.8920,24.92,-0.86
115,3801.9,0.8920,24.91,-0.94
116,3981.1,0.8920,24.92,-0.92
117,4168.7,0.8920,24.91,-1.03
118,4365.2,0.8920,24.91,-1.09
119,4570.9,0.8920,24.91,-1.09
120,4786.3,0.8920,24.91,-1.19
121,5011.9,0.8920,24.91,-1.21
122,5248.1,0.8920,24.91,-1.26
123,5495.4,0.8920,24.91,-1.32
124,5754.4,0.8920,24.91,-1.44
125,6025.6,0.8920,24.91,-1.49
126,6309.6,0.8920,24.90,-1.54
127,6606.9,0.8920,24.90,-1.60
128,6918.3,0.8920,24.90,-1.71
129,7244.4,0.8920,24.90,-1.83
130,7585.8,0.8920,24.90,-1.89
131,7943.3,0.8920,24.90,-1.95
132,8317.6,0.8920,24.90,-2.06
133,8709.6,0.8920,24.90,-2.12
134,9120.1,0.8920,24.90,-2.23
135,9549.9,0.8920,24.89,-2.35
136,10000.0,0.8920,24.89,-2.46
137,10471.3,0.8920,24.89,-2.58
138,10964.8,0.8920,24.89,-2.73
139,11481.5,0.8920,24.89,-2.81
140,12022.6,0.8920,24.89,-2.98
141,12589.3,0.8920,24.89,-3.15
142,13182.6,0.8920,24.89,-3.30
143,13803.8,0.8920,24.89,-3.42
144,14454.4,0.8920,24.89,-3.61
145,15135.6,0.8920,24.89,-3.72
146,15848.9,0.8920,24.87,-3.94
147,16595.9,0.8920,24.87,-4.13
148,17378.0,0.8920,24.87,-4.34
149,18197.0,0.8920,24.86,-4.53
150,19054.6,0.8920,24.86,-4.75
151,19952.6,0.8920,24.86,-4.98
152,20893.0,0.8920,24.86,-5.27
153,21877.6,0.8920,24.84,-5.49
154,22908.7,0.8920,24.86,-5.79
155,23988.3,0.8920,24.85,-6.06
156,25118.9,0.8920,24.82,-6.36
157,26302.7,0.8920,24.82,-6.69
158,27542.3,0.8920,24.81,-7.03
159,28840.3,0.8920,24.81,-7.39
160,30199.5,0.8920,24.79,-7.79
161,31622.8,0.8920,24.78,-8.25
162,33113.1,0.8920,24.77,-8.75
163,34673.7,0.8920,24.74,-9.32
164,36307.8,0.8920,24.73,-9.92
165,38018.9,0.8920,24.71,-10.66
166,39810.7,0.8920,24.67,-11.50
167,41686.9,0.8920,24.59,-12.68
168,43651.6,0.8920,24.47,-14.20
169,45708.8,0.8920,24.30,-15.92
170,47863.0,0.8920,24.14,-17.81
171,50118.7,0.8920,23.93,-19.95
172,52480.7,0.8920,23.71,-22.17
173,54954.1,0.8920,23.42,-24.74
174,57544.0,0.8920,23.14,-27.28
175,60256.0,0.8920,22.82,-30.00
176,63095.7,0.8920,22.48,-32.59
177,66069.3,0.8920,22.12,-35.28
178,69183.1,0.8920,21.75,-37.76
179,72443.6,0.8920,21.39,-40.17
180,75857.8,0.8920,21.01,-42.50
181,79432.8,0.8920,20.68,-44.65
182,83176.4,0.8920,20.25,-46.80
183,87096.4,0.8920,19.90,-48.77
184,91201.1,0.8920,19.53,-50.73
185,95499.3,0.8920,19.16,-52.44
186,100000.0,0.8920,18.79,-54.15
187,104712.9,0.8920,18.41,-55.70
188,109647.8,0.8920,18.05,-57.30
189,114815.4,0.8920,17.68,-58.89
190,120226.4,0.8920,17.27,-60.24
191,125892.5,0.8920,16.88,-61.56
192,131825.7,0.8920,16.52,-62.96
193,138038.4,0.8920,16.17,-64.35
194,144544.0,0.8920,15.81,-65.69
195,151356.1,0.8920,15.38,-66.69
196,158489.3,0.8920,15.01,-67.88
197,165958.7,0.8920,14.59,-68.94
198,173780.1,0.8920,14.20,-69.98
199,181970.1,0.8920,13.83,-71.25
200,190546.1,0.8920,13.44,-72.11
201,199526.2,0.8920,13.04,-73.13
202,208929.6,0.8920,12.66,-74.09
203,218776.2,0.8920,12.26,-74.66
204,229086.8,0.8920,11.89,-75.65
205,239883.3,0.8920,11.48,-76.35
206,251188.6,0.8920,11.11,-77.09
207,263026.8,0.8920,10.72,-77.90
208,275422.9,0.8920,10.32,-78.65
209,288403.2,0.8920,9.93,-79.16
210,301995.2,0.8920,9.55,-79.59
211,316227.8,0.8920,9.14,-80.65
212,331131.1,0.8920,8.76,-80.91
213,346736.9,0.8920,8.38,-81.64
214,363078.1,0.8920,7.97,-82.07
215,380189.4,0.8920,7.60,-82.71
216,398107.2,0.8920,7.23,-83.24
217,416869.4,0.8920,6.83,-83.67
218,436515.8,0.8920,6.45,-84.22
219,457088.2,0.8920,6.05,-84.77
220,478630.1,0.8920,5.67,-85.23
221,501187.2,0.8920,5.28,-85.64
222,524807.5,0.8920,4.88,-86.13
223,549540.9,0.8920,4.48,-86.71
224,575439.9,0.8920,4.09,-87.01
225,602559.6,0.8920,3.71,-87.46
226,630957.3,0.8920,3.32,-88.09
227,660693.4,0.8920,2.92,-88.54
228,691831.0,0.8920,2.53,-89.06
229,724436.0,0.8920,2.11,-89.46
230,758577.6,0.8920,1.71,-89.89
231,794328.2,0.8920,1.36,-90.40
232,831763.8,0.8920,0.97,-90.93
233,870963.6,0.8920,0.53,-91.46
234,912010.8,0.8920,0.15,-92.16
235,954992.6,0.8920,-0.24,-92.59
236,1000000.0,0.8920,-0.63,-93.14
237,1047128.5,0.8920,-1.01,-93.70
238,1096478.2,0.8920,-1.40,-94.15
239,1148153.6,0.8920,-1.78,-94.86
240,1202264.4,0.8920,-2.11,-95.00
241,1258925.4,0.8920,-2.49,-95.94
242,1318256.7,0.8920,-2.89,-96.78
243,1380384.3,0.8920,-3.29,-97.26
244,1445439.8,0.8920,-3.65,-97.69
245,1513561.2,0.8920,-4.05,-98.48
246,1584893.2,0.8920,-4.45,-99.05
247,1659586.9,0.8920,-4.88,-99.39
248,1737800.8,0.8920,-5.23,-99.79
249,1819700.9,0.8920,-5.51,-99.63
250,1905460.7,0.8920,-5.77,-100.80
251,1995262.3,0.8920,-6.06,-101.72
252,2089296.1,0.8920,-6.40,-103.30
253,2187761.6,0.8920,-6.79,-104.28
254,2290867.7,0.8920,-7.17,-105.34
255,2398832.9,0.8920,-7.53,-106.45
256,2511886.4,0.8920,-7.86,-107.42
257,2630268.0,0.8920,-8.19,-108.64
258,2754228.7,0.8920,-8.54,-110.31
259,2884031.5,0.8920,-8.88,-110.62
260,3019951.7,0.8920,-9.16,-111.87
261,3162277.7,0.8920,-9.52,-113.08
262,3311311.2,0.8920,-9.85,-114.27
263,3467368.5,0.8920,-10.15,-115.87
264,3630780.5,0.8920,-10.45,-117.28
265,3801894.0,0.8920,-10.73,-118.22
266,3981071.7,0.8920,-11.09,-119.24
267,4168693.8,0.8920,-11.35,-120.74
268,4365158.3,0.8920,-11.62,-123.19
269,4570881.9,0.8920,-11.85,-123.70
270,4786300.9,0.8920,-12.12,-125.14
271,5011872.3,0.8920,-12.38,-127.11
272,5248074.6,0.8920,-12.62,-129.19
273,5495408.7,0.8920,-12.87,-130.96
274,5754399.4,0.8920,-13.08,-133.56
275,6025595.9,0.8920,-13.22,-134.76
276,6309573.4,0.8920,-13.38,-137.71
277,6606934.5,0.8920,-13.48,-140.58
278,6918309.7,0.8920,-13.51,-141.42
279,7244359.6,0.8920,-13.59,-142.45
280,7585775.8,0.8920,-13.64,-144.09
281,7943282.3,0.8920,-13.57,-146.18
282,8317637.7,0.8920,-13.54,-148.08
283,8709635.9,0.8920,-13.50,-153.64
284,9120108.4,0.8920,-13.48,-155.19
285,9549925.9,0.8920,-13.57,-158.44
286,10000000.0,0.8920,-13.64,-161.65
287,10471285.5,0.8920,-13.88,-164.48
288,10964782.0,0.8920,-13.70,-166.01
289,11481536.2,0.8920,-13.48,-169.03
290,12022644.3,0.8920,-13.27,187.62
291,12589254.1,0.8920,-12.97,183.03
292,13182567.4,0.8920,-12.52,177.53
293,13803842.6,0.8920,-11.96,169.51
294,14454397.7,0.8920,-11.58,157.62
295,15135612.5,0.8920,-11.08,148.68
296,15848931.9,0.8920,-10.51,138.28
297,16595869.1,0.8920,-9.77,124.01
298,17378008.3,0.8920,-9.19,107.15
299,18197008.6,0.8920,-8.88,90.19
300,19054607.2,0.8920,-8.90,74.09
301,19952623.1,0.8920,-9.42,61.12
302,20000000.0,0.8920,-9.40,61.40
